Gene ID;Gene Name or Symbol;Product Description;Variantome;Fraschka;ChIP on ChIP;Our ChIP seq;Likely Variant ;Final LC;Final Customized;Final HC
PF3D7_0524200;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0524300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0524400;RBG1;ribosome-interacting GTPase 1, putative;;;;;;;;
PF3D7_0524500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0524600;N/A;50S ribosomal protein L12, apicoplast, putative;;;;;;;;
PF3D7_0524700;TOM22;mitochondrial import receptor subunit TOM22, putative;;;;;;;;
PF3D7_0524800;UFD1;ubiquitin fusion degradation protein 1, putative;;;;;;;;
PF3D7_0524900;TYW1;S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative;;;;;;;;
PF3D7_0525000;N/A;zinc finger protein, putative;;;;;;;;
PF3D7_0525100;ACS10;acyl-CoA synthetase;;;;;;;;
PF3D7_0525200;SMC6;structural maintenance of chromosomes protein 6, putative;;;;;;;;
PF3D7_0525300;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0525400;N/A;7-helix-1 protein;;;;;;;;
PF3D7_0525500;N/A;WD repeat-containing protein, putative;;;;;;;;
PF3D7_0525600;N/A;RNA methyltransferase, putative;;;;;;;;
PF3D7_0525700;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0525800;IMC1g;inner membrane complex protein 1g, putative;;;;;;;;
PF3D7_0525900;NEK2;NIMA related kinase 2;;;;;;;;
PF3D7_0526000;N/A;RAP protein, putative;;;;;;;;
PF3D7_0526100;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0526200;ARF-GAP;ADP-ribosylation factor GTPase-activating protein, putative;;;;;;;;
PF3D7_0526300;WDR55;WD repeat-containing protein 55, putative;;;;;;;;
PF3D7_0526400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0526500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0526600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0526700;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0526800;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0526900;N/A;transmembrane emp24 domain-containing protein, putative;;;;;;;;
PF3D7_0527000;MCM3;DNA replication licensing factor MCM3, putative;;;;;;;;
PF3D7_0527100;UBC13;ubiquitin-conjugating enzyme E2 N, putative;;;;;;;;
PF3D7_0527200;USP14;ubiquitin carboxyl-terminal hydrolase 14;;;;;;;;
PF3D7_0527300;METAP1a;methionine aminopeptidase 1a, putative;;;;;;;;
PF3D7_0527400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0527500;HIP;Hsc70-interacting protein;;;;;;;;
PF3D7_0527600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0527700;N/A;tRNA Glutamic acid;YES;;;;;YES;;
PF3D7_0527800;N/A;tRNA Leucine;;;;;;;;
PF3D7_0527900;DDX41;ATP-dependent RNA helicase DDX41, putative;;;;;;;;
PF3D7_0528000;UMP1;proteasome maturation factor UMP1, putative;;;;;;;;
PF3D7_0528100;N/A;AP-1 complex subunit beta, putative;;;;;;;;
PF3D7_0528200;EIF3E;eukaryotic translation initiation factor 3 subunit E, putative;;;;;;;;
PF3D7_0528300;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0528400;DHHC7;palmitoyltransferase DHHC7;;;;;;;;
PF3D7_0528500;CPalpha;F-actin-capping protein subunit alpha, putative;;;;;;;;
PF3D7_0528600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0528700;CYP23;peptidyl-prolyl cis-trans isomerase;;;;;;;;
PF3D7_0528800;N/A;nucleolar preribosomal GTPase, putative;;;;;;;;
PF3D7_0528900;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0529000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0529100;ATrx2;thioredoxin-like protein, putative;;;;;;;;
PF3D7_0529200;N/A;sugar transporter, putative;;;;;;;;
PF3D7_0529300;TIC22;apicoplast TIC22 protein;;;;;;;;
PF3D7_0529400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0529500;N/A;cell cycle regulator protein, putative;;;;;;;;
PF3D7_0529600;N/A;tRNA Arginine;;;;;;;;
PF3D7_0529700;N/A;heptatricopeptide repeat-containing protein, putative;;;;;;;;
PF3D7_0529800;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0529900;N/A;RING zinc finger protein, putative;;;;;;;;
PF3D7_0530000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0530100;SYN6;SNARE protein, putative;;;;;;;;
PF3D7_0530200;PPT;phosphoenolpyruvate/phosphate translocator;;;;;;;;
PF3D7_0530300;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0530400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0530500;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0530600;N/A;XAP-5 DNA binding protein, putative;;;;;;;;
PF3D7_0530700;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0530750;DPM3;dolichol-phosphate mannosyltransferase subunit 3, putative;;;;;;;;
PF3D7_0530800;N/A;CPW-WPC family protein;;;;;;;;
PF3D7_0530900;FRM1;formin 1;;;;;;;;
PF3D7_0531000;N/A;SURF1 domain-containing protein, putative;;;;;;;;
PF3D7_0531100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0531200;N/A;ribosomal protein S16, mitochondrial, putative;;;;;;;;
PF3D7_0531300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0531400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0531500;N/A;unspecified product;;;;;;;;
PF3D7_0531600;N/A;18S ribosomal RNA;;;;;;;;
PF3D7_0531700;N/A;unspecified product;;;;;;;;
PF3D7_0531800;N/A;5.8S ribosomal RNA;;;;;;;;
PF3D7_0531900;N/A;unspecified product;;;;;;;;
PF3D7_0532000;N/A;28S ribosomal RNA;;;;;;;;
PF3D7_0532100;ETRAMP5;early transcribed membrane protein 5;;;;;;;;
PF3D7_0532200;N/A;Plasmodium exported protein (PHISTc), unknown function;;;;;;;;
PF3D7_0532300;N/A;Plasmodium exported protein (PHISTb), unknown function;;;;;;;;
PF3D7_0532400;LyMP;lysine-rich membrane-associated PHISTb protein;;;;;;;;
PF3D7_0532500;N/A;Plasmodium exported protein, unknown function;YES;;;;;YES;;
PF3D7_0532600;N/A;Plasmodium exported protein, unknown function;YES;YES - LC;;YES;;YES;YES;YES
PF3D7_0532700;VAR;erythrocyte membrane protein 1 (PfEMP1), pseudogene;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0532800;N/A;stevor, pseudogene;;YES - HC;;YES;YES;YES;YES;YES
PF3D7_0532900;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0533000;RIF;rifin, pseudogene;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0533100;VAR1CSA;erythrocyte membrane protein 1 (PfEMP1), pseudogene;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0600100;VAR;erythrocyte membrane protein 1 (PfEMP1), pseudogene;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0600200;VAR;erythrocyte membrane protein 1, PfEMP1;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0600300;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0600400;VAR;erythrocyte membrane protein 1, PfEMP1;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0600500;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0600600;VAR;erythrocyte membrane protein 1 (PfEMP1), exon 2;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0600700;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0600800;RIF;rifin, pseudogene;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0600900;RIF;rifin, pseudogene;;YES - HC;;YES;YES;YES;YES;YES
PF3D7_0601000;EPF4;exported protein family 4;;;;YES;;YES;YES;
PF3D7_0601100;EPF3;exported protein family 3;;YES - HC;;YES;;YES;YES;YES
PF3D7_0601200;MC-2TM;Pfmc-2TM Maurer's cleft two transmembrane protein;YES;;;YES;;YES;YES;YES
PF3D7_0601300;EPF1;exported protein family 1;;YES - HC;;YES;;YES;YES;YES
PF3D7_0601400;VAR;erythrocyte membrane protein 1 (PfEMP1), pseudogene;;YES - HC;;YES;YES;YES;YES;YES
PF3D7_0601500;N/A;Plasmodium exported protein (PHISTb), unknown function;;;YES;YES;;YES;YES;YES
PF3D7_0601600;N/A;tetratricopeptide repeat protein, putative;;;YES;YES;;YES;YES;YES
PF3D7_0601700;N/A;Plasmodium exported protein (PHISTa), unknown function, pseudogene;YES;;YES;YES;;YES;YES;YES
PF3D7_0601800;N/A;H/ACA snoRNA;;;;YES;;YES;YES;
PF3D7_0601900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0602000;N/A;zinc finger protein, putative;;;;;;;;
PF3D7_0602100;N/A;ATP-dependent RNA helicase, putative;;;;;;;;
PF3D7_0602200;N/A;MYND-type zinc finger protein, putative;;;;;;;;
PF3D7_0602300;PALM;liver merozoite formation protein, putative;;;;;;;;
PF3D7_0602400;EF-G;elongation factor G;;;;;;;;
PF3D7_0602500;N/A;geranylgeranyl transferase type-2 subunit beta, putative;;;;;;;;
PF3D7_0602600;N/A;SAC3 domain-containing protein, putative;;;;;;;;
PF3D7_0602700;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0602800;JmjC2;JmjC domain-containing protein, putative;;;;;;;;
PF3D7_0602900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0603000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0603100;N/A;RNA-binding protein, putative;;;;;;;;
PF3D7_0603200;BCS1;mitochondrial chaperone BCS1, putative;;;;;;;;
PF3D7_0603300;DHODH;dihydroorotate dehydrogenase;;;;;;;;
PF3D7_0603400;TEX1;trophozoite exported protein 1;;;;;;;;
PF3D7_0603500;CAX;cation/H+ antiporter;;;;;;;;
PF3D7_0603600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0603700;mFRS;phenylalanine--tRNA ligase;;;;;;;;
PF3D7_0603800;CEP76;centrosomal protein CEP76, putative;;;;;;;;
PF3D7_0603900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0604000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0604100;SIP2;AP2 domain transcription factor;;;;;;;;
PF3D7_0604200;N/A;mitochondrial ribosomal protein L41, putative;;;;;;;;
PF3D7_0604300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0604400;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0604500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0604600;N/A;DNA helicase, putative;;;;;;;;
PF3D7_0604700;GILP;glyoxalase I-like protein GILP;;;;;;;;
PF3D7_0604800;N/A;RAP protein, putative;;;;;;;;
PF3D7_0604900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0605000;N/A;50S ribosomal protein L24, putative;;;;;;;;
PF3D7_0605100;N/A;RNA-binding protein, putative;;;;;;;;
PF3D7_0605200;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0605300;ARK1;serine/threonine protein kinase;;;;;;;;
PF3D7_0605400;N/A;calcium-binding protein, putative;;;;;;;;
PF3D7_0605500;N/A;cyclin dependent kinase binding protein, putative;;;;;;;;
PF3D7_0605600;N/A;nucleoside diphosphate kinase, putative;;;;;;;;
PF3D7_0605700;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0605800;RAD50;DNA repair protein RAD50, putative;;;;;;;;
PF3D7_0605900;N/A;long chain polyunsaturated fatty acid elongation enzyme, putative;;;;;;;;
PF3D7_0606000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0606100;N/A;RNA-binding protein, putative;;;;;;;;
PF3D7_0606200;PEX4;ubiquitin-conjugating enzyme E2 PEX4, putative;;;;;;;;
PF3D7_0606300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0606400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0606500;PTB;polypyrimidine tract-binding protein, putative;;;;;;;;
PF3D7_0606600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0606700;N/A;coatomer alpha subunit, putative;;;;;;;;
PF3D7_0606800;VFT1;VFT protein;;;;;;;;
PF3D7_0606900;GLP2;glutaredoxin-like protein;;;;;;;;
PF3D7_0607000;N/A;translation initiation factor IF-2, putative;;;;;;;;
PF3D7_0607100;N/A;MYND-type zinc finger protein, putative;;;;;;;;
PF3D7_0607200;N/A;RING zinc finger protein, putative;;;;;;;;
PF3D7_0607300;UROD;uroporphyrinogen III decarboxylase;;;;;;;;
PF3D7_0607400;N/A;G-protein associated signal transduction protein, putative;;;;;;;;
PF3D7_0607500;COQ2;4-hydroxybenzoate polyprenyltransferase, putative;;;;;;;;
PF3D7_0607600;SAS6;spindle assembly abnormal protein 6, putative;;;;;;;;
PF3D7_0607700;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0607800;N/A;GTP-binding protein, putative;;;;;;;;
PF3D7_0607900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0608000;DPH7;diphthine methyltransferase, putative;;;;;;;;
PF3D7_0608100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0608200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0608300;N/A;heptatricopeptide repeat-containing protein, putative;;;;;;;;
PF3D7_0608310;SAM50;sorting assembly machinery 50 kDa subunit, putative;;;;;;;;
PF3D7_0608400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0608500;N/A;proteasome subunit alpha type-2, putative;;;;;;;;
PF3D7_0608600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0608700;CCT6;T-complex protein 1 subunit zeta;;;;;;;;
PF3D7_0608800;OAT;ornithine aminotransferase;;;;;;;;
PF3D7_0608900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0609000;NUP637;nucleoporin NUP637, putative;;;;;;;;
PF3D7_0609100;ZIP1;zinc transporter ZIP1, putative;;;;;;;;
PF3D7_0609200;N/A;citrate synthase-like protein, putative;;;;;;;;
PF3D7_0609300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0609400;CLS;mitochondrial cardiolipin synthase, putative;;;;;;;;
PF3D7_0609500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0609600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0609700;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0609800;DHHC2;palmitoyltransferase DHHC2, putative;;;;;;;;
PF3D7_0609900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0610000;N/A;mitochondrial ribosomal protein L19 precursor, putative;;;;;;;;
PF3D7_0610100;SLU7;pre-mRNA-splicing factor SLU7, putative;;;;;;;;
PF3D7_0610200;RBM25;RNA-binding protein 25, putative;;;;;;;;
PF3D7_0610300;N/A;unspecified product;;;;;;;;
PF3D7_0610400;H3;histone H3;YES;;;;;YES;;
PF3D7_0610500;N/A;peptidyl-tRNA hydrolase PTRHD1, putative;;;;;;;;
PF3D7_0610600;CDPK2;calcium-dependent protein kinase 2;;;;;;;;
PF3D7_0610700;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0610800;TK;transketolase;;;;;;;;
PF3D7_0610900;SPT5;transcription elongation factor SPT5, putative;;;;;;;;
PF3D7_0611000;N/A;SNARE associated Golgi protein, putative;;;;;;;;
PF3D7_0611100;SDH3;succinate dehydrogenase subunit 3, putative;;;;;;;;
PF3D7_0611200;ApiAP2;AP2 domain transcription factor, putative;;;;;;;;
PF3D7_0611300;N/A;ATP synthase-associated protein, putative;;;;;;;;
PF3D7_0611400;SWIB;SWIB/MDM2 domain-containing protein;;;;;;;;
PF3D7_0611500;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0611600;BTP1;basal complex transmembrane protein 1;;;;;;;;
PF3D7_0611700;RPL39;60S ribosomal protein L39;;;;;;;;
PF3D7_0611800;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0611900;N/A;lsm12, putative;;;;;;;;
PF3D7_0612000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0612100;EIF3L;eukaryotic translation initiation factor 3 subunit L, putative;;;;;;;;
PF3D7_0612200;LRR6;leucine-rich repeat protein;;;;;;;;
PF3D7_0612300;TMEM234;transmembrane protein 234, putative;;;;;;;;
PF3D7_0612400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0612500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0612600;NCS6;cytoplasmic tRNA 2-thiolation protein 1, putative;;;;;;;;
PF3D7_0612700;P12;6-cysteine protein P12;;;;;;;;
PF3D7_0612800;P12p;6-cysteine protein;;;;;;;;
PF3D7_0612900;NOG1;nucleolar GTP-binding protein 1, putative;;;;;;;;
PF3D7_0613000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0613100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0613200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0613300;ROP14;rhoptry protein ROP14;;;;;;;;
PF3D7_0613400;N/A;50S ribosomal protein L18, apicoplast, putative;;;;;;;;
PF3D7_0613500;N/A;AP-3 complex subunit beta, putative;;;;;;;;
PF3D7_0613600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0613700;N/A;syntaxin-binding protein, putative;;;;;;;;
PF3D7_0613800;ApiAP2;AP2 domain transcription factor, putative;;;;;;;;
PF3D7_0613900;myoE;myosin E, putative;;;;;;;;
PF3D7_0614000;N/A;thiamine-phosphate synthase, putative;;;;;;;;
PF3D7_0614100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0614200;NAR1;cytosolic Fe-S cluster assembly factor NAR1, putative;;;;;;;;
PF3D7_0614300;MFR1;major facilitator superfamily-related transporter, putative;;;;;;;;
PF3D7_0614400;CWF7;pre-mRNA-splicing factor CWF7, putative;;;;;;;;
PF3D7_0614500;RPL19;60S ribosomal protein L19;;;;;;;;
PF3D7_0614600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0614700;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0614800;NTHL1;endonuclease III-like protein 1, putative;;;;;;;;
PF3D7_0614900;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0615000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0615100;ENR;enoyl-acyl carrier reductase;;;;;;;;
PF3D7_0615200;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0615300;GWT1;GPI-anchored wall transfer protein 1, putative;;;;;;;;
PF3D7_0615400;N/A;ribonuclease, putative;;;;;;;;
PF3D7_0615500;CRK5;cdc2-related protein kinase 5;;;;;;;;
PF3D7_0615600;N/A;zinc finger protein, putative;;;;;;;;
PF3D7_0615700;N/A;RNA and export factor binding protein, putative;;;;;;;;
PF3D7_0615800;COG4;conserved oligomeric Golgi complex subunit 4, putative;;;;;;;;
PF3D7_0615900;N/A;protein phosphatase, putative;;;;;;;;
PF3D7_0616000;PDXK;pyridoxal kinase;;;;;;;;
PF3D7_0616100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0616200;NDC80;kinetochore protein NDC80, putative;;;;;;;;
PF3D7_0616300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0616400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0616500;TLP;TRAP-like protein;;;;;;;;
PF3D7_0616600;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0616700;N/A;ras GTPAse, putative;;;;;;;;
PF3D7_0616800;MQO;malate:quinone oxidoreductase;;;;;;;;
PF3D7_0616900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0617000;TOM40;mitochondrial import receptor subunit TOM40, putative;;;;;;;;
PF3D7_0617100;N/A;AP-2 complex subunit alpha, putative;;;;;;;;
PF3D7_0617200;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0617300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0617400;VAR;erythrocyte membrane protein 1, PfEMP1;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0617500;RIF;rifin, pseudogene;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0617600;N/A;stevor;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0617700;RIF;rifin;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0617800;H2A;histone H2A;;;;;;;;
PF3D7_0617900;H3.3;histone H3 variant;;;;;;;;
PF3D7_0618000;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0618100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0618200;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0618300;N/A;60S ribosomal protein L27a, putative;;;;;;;;
PF3D7_0618400;N/A;LMBR1 domain-containing protein, putative;;;;;;;;
PF3D7_0618500;MDH;malate dehydrogenase;;;;;;;;
PF3D7_0618600;ROM10;rhomboid protease ROM10;;;;;;;;
PF3D7_0618700;N/A;trafficking protein particle complex subunit 6A, putative;;;;;;;;
PF3D7_0618800;N/A;heptatricopeptide repeat-containing protein, putative;;;;;;;;
PF3D7_0618900;GPI1;phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1;;;;;;;;
PF3D7_0619000;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0619100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0619200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0619300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0619400;N/A;cell division cycle protein 48 homologue, putative;;;;;;;;
PF3D7_0619500;ACS12;acyl-CoA synthetase;;;;;;;;
PF3D7_0619600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0619700;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0619800;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0619900;SF3A2;splicing factor 3A subunit 2, putative;;;;;;;;
PF3D7_0620000;PSOP25;secreted ookinete protein 25, putative;;;;;;;;
PF3D7_0620100;N/A;ATP synthase-associated protein, putative;;;;;;;;
PF3D7_0620200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0620300;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0620400;MSP10;merozoite surface protein 10;;;;;;;;
PF3D7_0620500;N/A;cleavage stimulation factor subunit 1, putative;;;;;;;;
PF3D7_0620600;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0620700;N/A;DnaJ protein, putative;;;;;;;;
PF3D7_0620800;N/A;tRNA Alanine;;;;;;;;
PF3D7_0620900;N/A;tRNA Leucine;;;;;;;;
PF3D7_0621000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0621100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0621200;PDX1;pyridoxine biosynthesis protein PDX1;;;;;;;;
PF3D7_0621300;PUF3;mRNA-binding protein PUF3;;;;;;;;
PF3D7_0621350;SYS1;protein SYS1, putative;;;;;;;;
PF3D7_0621400;ALV7;Pf77 protein;YES;YES - HC;;;;YES;YES;YES
PF3D7_0621500;RPP1;ribonuclease P/MRP protein subunit RPP1, putative;;;;;;;;
PF3D7_0621600;N/A;tRNA Serine;;;;;;;;
PF3D7_0621700;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0621800;N/A;nascent polypeptide-associated complex subunit alpha, putative;;;;;;;;
PF3D7_0621900;SRP68;signal recognition particle subunit SRP68, putative;;;;;;;;
PF3D7_0622000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0622100;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0622200;N/A;radical SAM protein, putative;;;;;;;;
PF3D7_0622300;N/A;vacuolar transporter chaperone, putative;;;;;;;;
PF3D7_0622400;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0622500;N/A;RNA methyltransferase, putative;;;;;;;;
PF3D7_0622600;QCR9;cytochrome b-c1 complex subunit 9, putative;;;;;;;;
PF3D7_0622700;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0622800;N/A;leucine--tRNA ligase, putative;;;;;;;;
PF3D7_0622900;AP2Tel;AP2 domain transcription factor AP2Tel;;;;;;;;
PF3D7_0623000;CS;chorismate synthase;;;;;;;;
PF3D7_0623100;NAB2;nuclear polyadenylated RNA-binding protein NAB2, putative;;;;;;;;
PF3D7_0623200;FNR;ferredoxin--NADP reductase;;;;;;;;
PF3D7_0623300;N/A;EGF-like membrane protein, putative;;;;;;;;
PF3D7_0623400;PlasMei2;MEI2-like RNA-binding protein, putative;;;;;;;;
PF3D7_0623500;SOD2;superoxide dismutase [Fe];;;;;;;;
PF3D7_0623600;N/A;transcription or splicing factor-like protein, putative;;;;;;;;
PF3D7_0623700;SUV3;ATP-dependent RNA helicase SUV3, putative;;;;;;;;
PF3D7_0623800;TKL4;tyrosine kinase-like protein, putative;;;;;;;;
PF3D7_0623900;N/A;ribonuclease H2 subunit A, putative;;;;;;;;
PF3D7_0624000;HK;hexokinase;;;;;;;;
PF3D7_0624100;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0624200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0624300;N/A;CPW-WPC family protein;;;;;;;;
PF3D7_0624400;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0624500;APC11;anaphase-promoting complex subunit 11, putative;;;;;;;;
PF3D7_0624600;ISWI;SNF2 helicase, putative;;;;;;;;
PF3D7_0624700;PIGL;N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase, putative;;;;;;;;
PF3D7_0624800;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0624900;N/A;GAS8-like protein, putative;;;;;;;;
PF3D7_0625000;SMS1;sphingomyelin synthase 1, putative;;;;;;;;
PF3D7_0625100;SMS2;sphingomyelin synthase 2, putative;;;;;;;;
PF3D7_0625200;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0625300;N/A;DNA polymerase 1, putative;;;;;;;;
PF3D7_0625400;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0625500;N/A;conserved Plasmodium membrane protein, unknown function;;;;;;;;
PF3D7_0625600;PAP;poly(A) polymerase PAP, putative;;;;;;;;
PF3D7_0625700;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0625800;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0625900;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0626000;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
PF3D7_0626100;N/A;oxidoreductase, short-chain dehydrogenase family, putative;;;;;;;;
